integration,frequency,percentage
Shopify Checkout,339,33.9
Klaviyo,100,10.0
Customer Accounts,91,9.1
Shopify Flow,68,6.8
Facebook,62,6.2
Shopify POS,58,5.8
Amazon,53,5.3
Instagram,51,5.1
Google Analytics,48,4.8
Mailchimp,36,3.6
Zapier,31,3.1
Recharge,30,3.0
TikTok,28,2.8
WhatsApp,27,2.7
Ups,27,2.7
PayPal,26,2.6
Google Ads,25,2.5
Yotpo,25,2.5
Judge.me,24,2.4
Pagefly,24,2.4
Ebay,23,2.3
Dhl,23,2.3
Etsy,22,2.2
Shopify,21,2.1
Google,21,2.1
Usps,19,1.9
Woocommerce,19,1.9
Fedex,19,1.9
Gorgias,18,1.8
Stripe,17,1.7
Omnisend,16,1.6
Google Sheets,16,1.6
HubSpot,16,1.6
Youtube,15,1.5
Facebook Ads,14,1.4
Zendesk,14,1.4
Online Store 2.0,12,1.2
Google Shopping,12,1.2
Meta,12,1.2
Gempages,12,1.2
Walmart,11,1.1
Salesforce,11,1.1
Twitter,11,1.1
Aliexpress,11,1.1
Shipstation,10,1.0
Dpd,10,1.0
Meta Ads,10,1.0
Magento,9,0.9
Stamped.Io,9,0.9
Google Drive,9,0.9
Facebook Pixel,9,0.9
Dropbox,9,0.9
QuickBooks,9,0.9
Attentive,8,0.8
Wix,8,0.8
Google Maps,8,0.8
Loox,8,0.8
Xero,8,0.8
Netsuite,7,0.7
Tiktok Shop,7,0.7
Bigcommerce,7,0.7
Google Analytics 4,7,0.7
Google Tag Manager,7,0.7
Slack,7,0.7
Chatgpt,7,0.7
Gls,7,0.7
Messenger,6,0.6
Sendcloud,6,0.6
Activecampaign,6,0.6
Checkout Extensibility,6,0.6
Smile.Io,6,0.6
Pagefly Landing Page Builder,6,0.6
Email,6,0.6
Pinterest,6,0.6
Shop Pay,6,0.6
Canada Post,6,0.6
Quickbooks Online,6,0.6
Telegram,6,0.6
Shopee,6,0.6
Order Printer,6,0.6
Square,6,0.6
Brevo,6,0.6
Instagram Ads,6,0.6
Google Calendar,5,0.5
Openai,5,0.5
Ga4,5,0.5
Theme Editor,5,0.5
Stamped,5,0.5
Linkedin,5,0.5
Royal Mail,5,0.5
Wordpress,5,0.5
Gempage,5,0.5
Gmail,5,0.5
Translate & Adapt,5,0.5
Loyalty Lion,5,0.5
Privy,5,0.5
Aftership,5,0.5
Product Reviews,5,0.5
Tiktok Ads,5,0.5
Loop Returns,5,0.5
Upcart,5,0.5
Meta Pixel,4,0.4
Aweber,4,0.4
Baselinker,4,0.4
Klaviyo: Email Marketing & Sms,4,0.4
Afterpay,4,0.4
Any Theme,4,0.4
Langify,4,0.4
Yotpo Reviews,4,0.4
Squarespace,4,0.4
Tiktok Pixel,4,0.4
Typeform,4,0.4
Point Of Sale (Pos),4,0.4
Bundles,4,0.4
Android,4,0.4
Kaufland,4,0.4
Sendgrid,4,0.4
Aramex,4,0.4
Loyaltylion,4,0.4
Constant Contact,4,0.4
Easypost,4,0.4
Intercom,4,0.4
Dsers,4,0.4
Lazada,4,0.4
Seal Subscriptions,4,0.4
Google Reviews,4,0.4
Tapcart,4,0.4
Weglot,4,0.4
Google My Business,4,0.4
Klarna,4,0.4
Postnord,3,0.3
Postnl,3,0.3
Australia Post,3,0.3
Twilio,3,0.3
Google Merchant Center,3,0.3
Discounts,3,0.3
Bol.Com,3,0.3
Zoom,3,0.3
Shippo,3,0.3
Product Customizer,3,0.3
Vchasno.Kasa,3,0.3
Authorize.Net,3,0.3
Pdf,3,0.3
Line,3,0.3
Csv,3,0.3
Upsell,3,0.3
Zipify,3,0.3
Shogun,3,0.3
Zapiet,3,0.3
Mixpanel,3,0.3
Zoho Crm,3,0.3
Infusionsoft,3,0.3
Facebook Messenger,3,0.3
Facebook Api,3,0.3
Facebook Catalog,3,0.3
Ecomposer,3,0.3
Inpost,3,0.3
Github,3,0.3
Google Search Console,3,0.3
Discord,3,0.3
Wholesale,3,0.3
Trustpilot,3,0.3
Okendo,3,0.3
Google Adwords,3,0.3
Evri,3,0.3
Delivery Date,3,0.3
Shiphero,3,0.3
Erp,3,0.3
Shop Minis,3,0.3
Bold,3,0.3
Cash On Delivery,2,0.2
Ios,2,0.2
Rebuy,2,0.2
Customily,2,0.2
Product Page,2,0.2
Cart Page,2,0.2
Shein,2,0.2
Meta Advertising,2,0.2
Mcf,2,0.2
Inbox,2,0.2
Instant Traffic,2,0.2
Ecomposer Landing Page Builder,2,0.2
Loox Reviews,2,0.2
Mirakl,2,0.2
Shiprocket,2,0.2
Speed,2,0.2
Seal,2,0.2
Order Printer Pro,2,0.2
Flexport,2,0.2
Vimeo,2,0.2
Preorder,2,0.2
Estimated Delivery Date,2,0.2
Segment,2,0.2
Delivery Time,2,0.2
Trustoo,2,0.2
Bold Subscriptions,2,0.2
Growave,2,0.2
Google Firebase,2,0.2
Cjdropshipping,2,0.2
Google Business Profile,2,0.2
Zalora,2,0.2
Wechat,2,0.2
Prestashop,2,0.2
Hextom: Translate & Currency,2,0.2
Wayfair,2,0.2
Fera Product Reviews,2,0.2
Algolia,2,0.2
Sendlane,2,0.2
Google Map,2,0.2
Dhl Express,2,0.2
Skubana,2,0.2
Admin,2,0.2
Multi Vendor Marketplace,2,0.2
Judge.Me Product Reviews,2,0.2
Loomis,2,0.2
Braintree,2,0.2
Facebook Business Manager,2,0.2
Instant,2,0.2
Zoho Books,2,0.2
Thank You Page,2,0.2
Order Status Page,2,0.2
Fb Pixel,2,0.2
Printful,2,0.2
Platinum,2,0.2
Airbnb,2,0.2
Ryviu,2,0.2
Facebook Sdk,2,0.2
Nova Poshta Shipping,2,0.2
Checkout Blocks,2,0.2
Recaptcha,2,0.2
Wish,2,0.2
Markets,2,0.2
Overstock,2,0.2
Freshdesk,2,0.2
Google Sheet,2,0.2
B2B,2,0.2
Smile,2,0.2
Make.Com,2,0.2
Zipcode Validation,2,0.2
Gladly,2,0.2
Product Options,2,0.2
Getresponse & Campaign Monitor,2,0.2
Product Labels,2,0.2
Google Recaptcha,2,0.2
Fathom Analytics,2,0.2
Sendy,2,0.2
Facebook Channel,2,0.2
